Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
California Lutheran University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.4802,24,1108,48630,8149,9597,19500,21.7299995,76461,44300
Gardner-Webb University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.4817,22,1018,35790,6176,6413,17840,25.8700008,46379.5,34400
Trinity Baptist College,Bachelor's,Graduate,Private,Southeast,Large City,0.4847,19,863,16752,2670,3450,5500,21.9599991,44214.5,26400
Reed College,Bachelor's,Graduate,Private,Far West,Large City,0.4853,31,1371,57701,20261,10092,15500,19.6900005,69123.5,28400
College for Creative Studies,Bachelor's,Graduate,Private,Great Lakes,Large City,0.486,22,1010,46095,10845,6882,24000,21.3500004,65746,33200
SUNY College at Oswego,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.4863,24,1110,21222,9804,6733,18750,20.6900005,63043,36400
University of San Diego,Bachelor's,Graduate,Private,Far West,Large City,0.4885,28,1228,56346,13166,11648,19500,20.8500004,69873.5,53400
Villanova University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.489,30,1316,56265,15426,10425,25000,20.0200005,112696,65100
Abilene Christian University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.4894,24,1087,39811,8737,5508,20698.5,20.2299995,75873.5,37200
Simmons College,Bachelor's,Graduate,Private,New England,Large City,0.4897,26,1149,51093,12373,8098,25000,21.3099995,67781,46500
San Diego Christian College,Bachelor's,Graduate,Private,Far West,Large Suburb,0.492,21,986,37696,4972,5271,11806,23.0100002,51463,31000
Howard University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.493,24,1081,40129,22191,8566,24250,20.9699993,47531,42400
Oklahoma Wesleyan University,Bachelor's,Graduate,Private,Southwest,Distant Town,0.4934,21,981,32241,6127,5309,16664,29.7099991,53772,46700
Ohio Dominican University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.494,22,1028,40370,5064,6712,21081.5,24.9500008,49137.5,35200
Bethany College,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.4948,21,936,38226,7845,5693,18250,19.8400002,64954.5,35700
Syracuse University,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.4949,26,1158,55600,14915,10822,27000,20.0100002,80005.5,50800
Notre Dame of Maryland University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.4964,22,1036,41871,10035,7064,21732.5,27.3899994,56669,45600
Florida Southern College,Bachelor's,Graduate,Private,Southeast,Small City,0.4989,25,1102,38413,6857,7152,18375,21.8999996,56919.5,35900
North Carolina State University at Raleigh,Bachelor's,Graduate,Public,Southeast,Large City,0.5001,28,1229,20511,13831,9774,17750,20.5400009,66351,44100
Graceland University-Lamoni,Bachelor's,Graduate,Private,Great Plains,Remote Rural,0.5018,21,969,34494,8769,4986,18089.5,23.2800007,52671.5,33200
