Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
Providence College,Bachelor's,Graduate,Private,New England,Mid-size City,0.5979,26,1158,56184,12232,9471,27000,19.8799992,110798,52900
DePaul University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5987,26,1163,46375,11612,10392,20500,22.2800007,54683,44800
University of California-Santa Cruz,Bachelor's,Graduate,Public,Far West,Small City,0.5991,23,1087,33208,8338,12110,16500,20.2800007,58508,37800
Daniel Webster College,Bachelor's,Graduate,Private For-Profit,New England,Small City,0.5992,19,962,27321,17386,5077,12500,21.5499992,74352,45600
Dominican University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5997,22,1031,36307,9940,6685,18656,21.6000004,58497.5,40100
University of North Carolina at Greensboro,Bachelor's,Graduate,Public,Southeast,Large City,0.6002,23,1029,17362,8803,7926,16000,21.5599995,50195,33300
Catholic University of America,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6007,25,1118,54023,15799,9565,22000,21.2199993,106352,48900
Rochester Institute of Technology,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6016,28,1232,45772,16160,9621,24500,20.6499996,72166,54000
Sewanee-The University of the South,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.6027,28,1248,46530,14960,8389,16000,19.6000004,81758,34300
Berry College,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.6032,27,1186,40965,12857,7060,15750,19.7199993,71090,34600
Towson University,Bachelor's,Graduate,Public,Mid-Atlantic,Small City,0.6034,23,1078,21596,5906,6670,15750,20.8899994,71279.5,45700
Purdue University-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Mid-size Suburb,0.6042,27,1211,23109,15477,11005,20500,20.3600006,77728,47500
Florida Institute of Technology,Bachelor's,Graduate,Private,Southeast,Small City,0.6045,26,1153,52490,10719,9025,8509,20.3600006,73416.5,50500
Emmanuel College,Bachelor's,Graduate,Private,New England,Large City,0.6049,24,1090,49487,7555,8155,24250,20.6399994,81534,42200
Ball State University,Bachelor's,Graduate,Public,Great Lakes,Small City,0.6054,22,1053,21101,9700,7305,18686,20.5599995,73544,35800
Clarkson College,Bachelor's,Graduate,Private,Great Plains,Large City,0.6056,24,1110,22322,9266,5474,21906.5,24.4899998,60085.5,45300
Benedictine College,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.6057,25,1145,36805,5931,6165,19500,20.0799999,79145.5,35000
University of South Carolina-Columbia,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.606,27,1200,23685,10384,9514,19125,20.8999996,63282.5,38700
Worcester State University,Bachelor's,Graduate,Public,New England,Mid-size City,0.6062,22,1016,18494,6536,8356,14500,21.5900002,62776.5,39700
Mount Ida College,Bachelor's,Graduate,Private,New England,Small City,0.6065,18,880,41565,8163,6336,19000,20.5200005,61177,32600
Emporia State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.6069,22,1030,15612,7795,6268,14000,21.8400002,54559,33200
Winona State University,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.6075,23,1070,20449,6161,7570,18288,20.7099991,80304,39000
Augsburg College,Bachelor's,Graduate,Private,Great Plains,Large City,0.6086,23,1053,42531,9476,6868,23000,24.3799992,60818,41300
St Catherine University,Bachelor's,Graduate,Private,Great Plains,Large City,0.6089,23,1051,43356,9805,6737,22697,25.2600002,52083.5,43700
Missouri Baptist University,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.6095,22,1001,30542,4293,5248,15807,23.5300007,50739.5,31800
Avila University,Bachelor's,Graduate,Private,Great Plains,Large City,0.6108,22,1028,34898,6943,6747,18750,23.7600002,53028,39500
Piedmont College,Bachelor's,Graduate,Private,Southeast,Distant Town,0.6118,22,1001,32031,6381,5734,16703,25.7800007,49580.5,37000
Methodist University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6122,21,961,45011,7620,6726,11200,22.8799992,45688.5,35200
Madonna University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.6125,22,1034,22629,7282,7554,21733,27.4300003,41119.5,36300
University of San Francisco,Bachelor's,Graduate,Private,Far West,Large City,0.6129,25,1161,55812,15041,12409,23000,22.2099991,70581,53300
The Master's College and Seminary,Bachelor's,Graduate,Private,Far West,Large Suburb,0.6137,25,1104,40815,7582,7063,15750,21.9799995,62514,35400
University of Detroit Mercy,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6147,25,1142,48027,14080,8667,19300,24.9599991,44772,43000
Chowan University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.6154,16,777,32188,5191,6164,9500,20.6000004,41295,29400
Kettering University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6159,27,1198,49303,11438,7704,22500,19.8400002,83977,69900
Northwest Nazarene University,Bachelor's,Graduate,Private,Rocky Mountains,Mid-size Suburb,0.617,25,1079,34498,6722,5691,19500,22.2700005,60526,32300
Coe College,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6171,26,1166,45387,11825,7662,21875,20.4099999,75314,40300
University of Hartford,Bachelor's,Graduate,Private,New England,Mid-size City,0.6173,23,1053,47368,12566,8178,19944,20.1499996,85192,39400
Le Moyne College,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.619,24,1080,42068,9710,8776,21216.5,21.5200005,62276,45000
Eastern Illinois University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.6191,22,1010,23346,12690,7773,18750,21.3299999,69586,36000
University of California-Riverside,Bachelor's,Graduate,Public,Far West,Large City,0.62,23,1078,29787,10473,11324,17000,20.0799999,43078.5,41100
George Mason University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.6203,26,1155,22332,12122,10524,17250,22.0300007,53311,53100
The Richard Stockton College of New Jersey,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size Suburb,0.6211,22,1068,26086,8256,9242,18750,22.0900002,64554.5,42300
East Carolina University,Bachelor's,Graduate,Public,Southeast,Small City,0.6217,23,1050,19851,11838,7975,18500,21.7099991,53731,35900
Albright College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.6231,23,1033,46170,9620,6340,24562.5,23.6299992,66577.5,41700
Meredith College,Bachelor's,Graduate,Private,Southeast,Large City,0.6232,23,1040,39296,9730,6925,20500,22.5900002,56959.5,34400
University of Illinois at Urbana-Champaign,Bachelor's,Graduate,Public,Great Lakes,Small City,0.6239,29,1303,28564,13674,11576,19399,19.6700001,85462,50700
Wesley College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.625,20,841,35199,6971,6703,14250,22.2800007,65621,38800
Columbia International University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6258,22,1055,28141,6611,4559,17250,22.0799999,46934,25900
Saint John Fisher College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6277,25,1095,39014,8715,8342,21500,20.7700005,77096,41400
Lewis & Clark College,Bachelor's,Graduate,Private,Far West,Large City,0.6285,29,1279,53455,14496,9221,19115,20.9699993,67573,37600
McKendree University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6289,23,1046,37004,5614,6641,17613,24.4300003,52208,40500
University of Massachusetts-Amherst,Bachelor's,Graduate,Public,New England,Large Suburb,0.6294,27,1209,25665,12988,11354,21500,20.5900002,75270.5,43500
Central Michigan University,Bachelor's,Graduate,Public,Great Lakes,Distant Town,0.6304,22,1029,21523,8249,8603,21721.5,21,70233.5,36100
University of Maryland-Baltimore County,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.6315,27,1209,22024,9852,8985,17500,21.3799992,59891,46900
Oklahoma Christian University,Bachelor's,Graduate,Private,Southwest,Large City,0.6321,25,1124,29359,8096,6581,15331,20.1000004,70327,33200
Appalachian State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6323,26,1156,17780,7361,7657,15635,20.6800003,69100,33600
Whittier College,Bachelor's,Graduate,Private,Far West,Large Suburb,0.6325,23,1043,49920,11366,8954,21500,19.7199993,75319,38900
Averett University,Bachelor's,Graduate,Private,Southeast,Remote Town,0.6329,20,941,36240,11453,6415,19298,27.5100002,53773.5,38600
Albany College of Pharmacy and Health Sciences,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.634,27,1195,40718,11879,8530,24930.5,21.0599995,80225,125600
Mount Vernon Nazarene University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6349,23,1071,33321,6654,6099,21875,25.5699997,64078,37000
Norwich University,Bachelor's,Graduate,Private,New England,Distant Town,0.6349,24,1065,47341,6331,7147,23000,20.0100002,84597,43800
Wisconsin Lutheran College,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6356,24,1097,34192,9405,6106,16172,19.9500008,75194,35000
James Madison University,Bachelor's,Graduate,Public,Southeast,Small City,0.6356,25,1149,21980,8099,8016,18500,19.6700001,99908,48800
North Central College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6365,25,1125,41218,8407,7337,20000,20.7299995,83750,40100
Lynchburg College,Bachelor's,Graduate,Private,Southeast,Small City,0.6369,22,1002,41818,10202,7038,21500,20.3799992,77604,37000
Earlham College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.637,29,1262,50930,19527,7391,21197,19.8600006,79944,29900
Webber International University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.6377,21,922,34949,3018,4783,9500,21.8799992,45832.5,31100
King University,Bachelor's,Graduate,Private,Southeast,Small City,0.6377,23,1039,36533,4357,4703,17910,25.6499996,52011,39900
Temple University,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6387,25,1121,27247,12500,9648,21700,21.3299999,56155,43600
Marietta College,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.6387,24,1105,42205,12211,6565,22353,19.9099999,71762,34000
Trinity University,Bachelor's,Graduate,Private,Southwest,Large City,0.6393,29,1270,46274,14743,9715,18500,19.5699997,101012.5,49600
Baldwin Wallace University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6396,24,1096,37504,10201,7418,24000,21.3899994,74030,39900
SUNY Maritime College,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6396,23,1056,21493,10198,6536,21980,20.5499992,79477.5,68300
University of Massachusetts-Lowell,Bachelor's,Graduate,Public,New England,Large Suburb,0.6397,25,1132,22861,10446,11296,19500,22,61757,45600
Furman University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.6397,28,1237,55434,18804,8957,20500,19.8899994,93139.5,40200
Eastern Michigan University,Bachelor's,Graduate,Public,Great Lakes,Large Suburb,0.6398,22,1011,18905,8307,8853,19114.5,22.5100002,52069,33800
Cincinnati Christian University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6398,21,989,25900,6054,5323,16865,25.4200001,52439,28000
University of North Carolina at Asheville,Bachelor's,Graduate,Public,Southeast,Small City,0.6403,26,1190,17468,9085,7371,15772.5,22.0100002,48654,31600
Clarkson University,Bachelor's,Graduate,Private,Mid-Atlantic,Remote Town,0.6403,26,1187,54772,13218,10138,24187,19.5599995,82272,62400
University of Nebraska-Lincoln,Bachelor's,Graduate,Public,Great Plains,Large City,0.6404,25,1147,21024,10583,10085,15799,20.2800007,72140.5,39200
Caldwell College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6408,21,949,38223,6788,7944,19125,24.4699993,50740,38400
Philadelphia University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6408,23,1062,46451,9410,7818,24750,20.4799995,81316.5,43600
Eastern University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6409,21,1041,39764,7909,6289,20927,24.75,70417,37900
Hawaii Pacific University,Bachelor's,Graduate,Private,Far West,Large City,0.6411,22,1005,29762,6203,8603,16250,23.5200005,41600,42100
Central Connecticut State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.6413,22,1006,20372,8990,8513,16852.5,21.2299995,66799.5,41200
High Point University,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6418,24,1087,42300,8793,6894,18250,24.9599991,47907.5,34900
Saint Josephs College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6419,22,998,37135,6339,5443,13576.5,20.3099995,75145.5,35800
University of South Carolina-Upstate,Bachelor's,Graduate,Public,Southeast,Mid-size Suburb,0.6422,21,982,20848,6703,6139,15750,22.7600002,41002.5,33600
Evangel University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6425,23,1046,30988,6543,6433,16000,21.5799999,58776,32400
Saint Louis University,Bachelor's,Graduate,Private,Great Plains,Large City,0.6443,28,1237,52413,16641,10028,20500,20.8700008,87461,48100
Mars Hill University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.6447,20,941,36669,5825,5017,12000,22.3999996,50049,28400
Eastern Connecticut State University,Bachelor's,Graduate,Public,New England,Fringe Town,0.6453,22,1017,22633,8554,8091,17500,21.1100006,76549,39500
University of Delaware,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.6468,27,1178,21748,17186,11834,21000,19.6900005,102027,50100
Mississippi State University,Bachelor's,Graduate,Public,Southeast,Remote Town,0.6482,24,1106,20796,6989,7852,15500,21.8099995,41243.5,36800
Misericordia University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6489,23,1057,38504,7162,7112,22212.5,23.2299995,66143,47000
Sam Houston State University,Bachelor's,Graduate,Public,Southwest,Distant Town,0.6499,21,999,19173,4851,7316,16490,21.4699993,47405.5,38400
Anderson University,Bachelor's,Graduate,Private,Southeast,Small City,0.6502,24,1079,35340,5009,6409,19500,22.2000008,58707.5,32600
Spring Arbor University,Bachelor's,Graduate,Private,Great Lakes,Small Suburb,0.6505,23,1069,32709,6679,4953,20729,28.6100006,55009.5,34800
Eastern Mennonite University,Bachelor's,Graduate,Private,Southeast,Small City,0.6505,22,999,38009,11464,5903,14926,22.8700008,66842,34900
Seton Hill University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.652,23,1032,40497,8304,6822,22131,22.3099995,56664,36000
Fontbonne University,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.6524,23,1070,30833,8770,6008,25000,27.4400005,45291,38100
Maine Maritime Academy,Bachelor's,Graduate,Public,New England,Distant Rural,0.6536,22,1026,23673,9613,3639,26596.5,20.0699997,68682,73500
Northwood University-Michigan,Bachelor's,Graduate,Private,Great Lakes,Small City,0.6538,22,1029,32803,5977,6534,18750,25.4599991,49456,40800
Southwest Minnesota State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.6546,22,1010,19109,5187,8030,15750,21.8500004,56016,34900
New Jersey Institute of Technology,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.6547,26,1142,26700,8337,11262,16145,21.5300007,43773,58300
Savannah College of Art and Design,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6547,24,1078,49179,10302,8024,21521.5,20.4599991,78907,29700
Minnesota State University-Mankato,Bachelor's,Graduate,Public,Great Plains,Small City,0.6555,22,1030,17578,5706,8155,15116,20.7999992,71852,38100
Hamline University,Bachelor's,Graduate,Private,Great Plains,Large City,0.6557,24,1106,43433,7717,6607,18250,22.7800007,61451,43100
University of Idaho,Bachelor's,Graduate,Public,Rocky Mountains,Fringe Rural,0.6565,23,1070,19700,10938,7986,18550,21.4599991,51484,35800
Rochester College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6567,21,990,26399,5507,4144,14089.5,27.4899998,43866,30300
Greenville College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.657,22,1033,33675,6925,5649,16568,23.2199993,61294,32400
Emory & Henry College,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.6572,22,1004,40866,10417,6133,19000,20.0799999,64582,32900
Asbury University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.6573,24,1110,33966,8335,5924,20325,21.25,68034.5,30200
Florida Gulf Coast University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.6579,22,1024,18097,6606,7382,11625,22.4300003,46981,37600
Valley Forge Christian College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6585,22,977,29736,6212,4733,21956,20.7999992,53124.5,27800
Messiah College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.659,26,1154,41341,10251,7958,23000,19.5499992,91486,38000
Gwynedd Mercy University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6591,19,944,39051,7436,7046,20250,26.0200005,70168,48600
Drake University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6595,28,1240,42477,9273,9108,21500,20.2700005,88132.5,48000
Centenary College of Louisiana,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6597,25,1131,40578,11545,7159,17125,19.8099995,72994,40700
Oakland University,Bachelor's,Graduate,Public,Great Lakes,Large Suburb,0.66,23,1070,19198,7570,8482,18250,22.1900005,56986,37900
Butler University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.661,28,1212,47010,12922,7980,25000,20.0900002,99069,50700
Manhattan College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6617,25,1090,44895,9882,9042,21500,19.7199993,94555,56000
Lakeland College,Bachelor's,Graduate,Private,Great Lakes,Fringe Rural,0.6621,22,1007,32706,4730,6425,19023.5,26.3799992,45209,37900
Lindenwood University,Bachelor's,Graduate,Private,Great Plains,Small City,0.6629,23,1045,30193,3942,6787,20500,23.9300003,62127,35400
Texas Tech University,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.663,25,1116,20900,6813,8757,17750,20.5900002,69477,43900
Niagara University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6633,23,1038,38829,7355,8135,21000,20.0400009,77507.5,37600
DigiPen Institute of Technology,Bachelor's,Graduate,Private For-Profit,Far West,Small City,0.6635,28,1225,37848,5998,7659,19000,21.2099991,68233,72800
Gonzaga University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.6651,27,1204,46475,9687,8626,26035,20.5799999,87057,47900
Point Loma Nazarene University,Bachelor's,Graduate,Private,Far West,Large City,0.6654,26,1155,43060,9224,9653,20500,21.9699993,78964,43900
Washington College,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.6655,27,1168,52243,12924,7927,25000,19.2700005,108663.5,40800
Carson-Newman University,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.6657,23,1064,32446,6574,5577,15505,20.9200001,52873,32900
The New School,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.6659,25,1131,57203,12326,9716,20500,22.9200001,48618,38200
Miami University-Oxford,Bachelor's,Graduate,Public,Great Lakes,Fringe Town,0.6676,28,1240,30858,10056,8478,16766.5,21.1200008,81424.5,40500
Bemidji State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.6678,21,990,18166,5452,7669,13500,23.0799999,53717,35100
Rocky Mountain College,Bachelor's,Graduate,Private,Rocky Mountains,Mid-size City,0.6683,22,1024,32987,6433,5787,16625,22.3799992,52101,33000
Lebanon Valley College,Bachelor's,Graduate,Private,Mid-Atlantic,Small Suburb,0.6686,25,1112,46169,9979,7793,24500,19.9699993,88001.5,41000
Curry College,Bachelor's,Graduate,Private,New England,Large Suburb,0.6692,18,931,47519,9905,8319,18625,21.7900009,74416,41900
Faith Baptist Bible College and Theological Seminary,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.6693,22,1028,24930,6813,4992,12000,20.3700008,49742,29200
Bradley University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6694,26,1163,40330,14790,8424,23677,20.1599999,85839,45000
Slippery Rock University of Pennsylvania,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.6698,21,1002,21303,7194,9336,20500,20.5400009,64717,36100
Concordia College-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6701,18,912,36593,8315,5362,20437.5,22.4500008,64277,38000
Salve Regina University,Bachelor's,Graduate,Private,New England,Large Suburb,0.6706,25,1109,48219,8057,7425,26303.5,19.4699993,100931,44800
Massachusetts College of Liberal Arts,Bachelor's,Graduate,Public,New England,Fringe Town,0.672,23,1032,20025,8508,8113,18499,21.8700008,56421.5,29500
University of Redlands,Bachelor's,Graduate,Private,Far West,Small City,0.672,25,1135,55268,9159,9234,24000,23.6399994,69769,47100
Quinnipiac University,Bachelor's,Graduate,Private,New England,Large Suburb,0.6722,25,1102,53476,13065,8649,21852,19.8999996,108100,54100
Mount St Mary's University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.6741,20,1060,45896,8691,7121,19500,20.3899994,98879,47100
Louisiana Tech University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6744,24,1089,16983,5668,7055,13632.5,21.4899998,43568,37500
Lesley University,Bachelor's,Graduate,Private,New England,Mid-size City,0.6749,24,1065,47788,9092,7838,19500,24.8999996,55849,33200
Stephens College,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6756,23,1047,41309,8833,5017,16416,22.8199997,58312,29800
Siena Heights University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6765,21,990,31980,5261,5676,15328,26.8999996,48925,34500
American International College,Bachelor's,Graduate,Private,New England,Mid-size City,0.6779,19,885,40803,4924,5700,20726,22.6399994,49259,36100
Ohio Northern University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.6785,26,1153,49618,12893,8551,25000,19.9699993,89742,57500
University of Wisconsin-Madison,Bachelor's,Graduate,Public,Great Lakes,Mid-size City,0.6792,28,1268,23718,14278,10758,21000,20.25,87726,48200
Georgia College and State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6798,24,1126,23052,7476,6354,16250,20.7299995,72314,36300
Geneva College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6802,23,1070,34818,7872,6808,20593,25.3099995,60823.5,36300
Siena College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6805,25,1122,45452,10545,8320,23000,19.7399998,93663,49400
Lenoir-Rhyne University,Bachelor's,Graduate,Private,Southeast,Small City,0.6806,21,976,39425,7048,6600,17714,21.2900009,62412.5,33600
Shorter University,Bachelor's,Graduate,Private,Southeast,Small City,0.6807,21,954,30642,5532,5154,25250,31.6100006,48847,43000
Cornerstone University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6807,24,1084,33912,6292,5537,17750,27.2600002,55078,32800
Augustana College,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6809,24,1105,36828,10615,6488,25249,20.0799999,76993.5,38200
Hannibal-LaGrange University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.6814,22,1029,27560,4224,5168,13750,24.2099991,49635,31300
Adelphi University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,41559,12142,11315,21325,23.1299992,54115,49400
Milligan College,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.683,24,1096,36252,6433,5717,19000,22.5200005,63207.5,36000
College of St Joseph,Bachelor's,Graduate,Private,New England,Remote Town,0.6831,17,842,33200,6464,4163,14250,24.2399998,44493,35300
Midland University,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.6832,21,970,36214,4625,5733,11500,20.7099991,64320,35400
The University of Findlay,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6832,24,1083,38941,8412,7043,18770,21.6700001,71474,38700
Delaware Valley College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6834,22,1005,44778,8110,7140,19500,20.6800003,79773,35800
Milwaukee School of Engineering,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6839,28,1244,43747,10975,8286,25893,20.8999996,77754,61000
Kuyper College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6842,22,1008,26213,9926,5270,18500,22.25,60731,27300
Campbellsville University,Bachelor's,Graduate,Private,Southeast,Remote Town,0.6844,21,985,31545,5444,5692,12000,22.5699997,45765,29800
Mount Mercy University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6845,22,1010,37183,7292,6007,19500,23.3600006,65962.5,40900
University of North Carolina at Charlotte,Bachelor's,Graduate,Public,Southeast,Large City,0.6852,23,1066,17767,8855,8337,16500,21.9099999,51983,38300
University of Kentucky,Bachelor's,Graduate,Public,Southeast,Large City,0.6861,25,1140,22420,10793,9614,14000,21.1299992,57564,39300
Michigan State University,Bachelor's,Graduate,Public,Great Lakes,Small City,0.6865,26,1158,23740,14386,10614,22734,20.2000008,78152,46800
Wheaton College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.6871,30,1318,41394,14865,8328,21179,19.5200005,83641,39700
Lincoln Christian University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6875,22,996,25309,5975,5114,18012,23.6599999,56424,27400
Saint Vincent College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6875,23,1035,41591,7914,7116,25000,19.8299999,80131,40600
Mount Aloysius College,Associate,Graduate,Private,Mid-Atlantic,Fringe Town,0.6876,20,915,30884,5798,6238,15111.5,24.8600006,42148,35200
Charleston Southern University,Bachelor's,Graduate,Private,Southeast,Small City,0.6887,21,973,33245,5888,6087,15750,21.9300003,44120.5,32400
Wheeling Jesuit University,Bachelor's,Graduate,Private,Southeast,Small City,0.6892,22,1023,34213,6856,5731,16625,22.5900002,66698,40000
Illinois State University,Bachelor's,Graduate,Public,Great Lakes,Mid-size Suburb,0.6892,24,1110,25416,9950,7665,18750,20.4599991,82019,40600
Mercer University,Bachelor's,Graduate,Private,Southeast,Small City,0.69,26,1171,46382,10646,7918,21500,26.6399994,48287.5,43900
Loras College,Bachelor's,Graduate,Private,Great Plains,Small City,0.6903,24,1088,37622,6903,6173,24225,20.1599999,79300,38200
University of Charleston,Bachelor's,Graduate,Private,Southeast,Small City,0.6905,22,991,32147,6862,6012,10250,21.5900002,56456,37600
Virginia Commonwealth University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.6913,24,1102,25291,12826,8242,19125,21.4200001,55696,38600
Rhode Island College,Bachelor's,Graduate,Public,New England,Large Suburb,0.6915,20,930,14858,7628,7607,15462,22.0699997,52408,35300
University of Northwestern-St Paul,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.6915,25,1126,37803,7118,6078,18636.5,23.3600006,65093,32100
Salem State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.6929,22,986,20601,7761,8765,19415,21.75,51386,37600
William Jessup University,Bachelor's,Graduate,Private,Far West,Fringe Rural,0.6929,23,1039,34811,6607,7043,17000,25.0799999,56144,30300
Hollins University,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.693,24,1099,46049,14451,6552,23869.5,21.4500008,63661.5,28600
University of Southern Indiana,Bachelor's,Graduate,Public,Great Lakes,Mid-size Suburb,0.6934,22,1004,17996,5112,6363,13500,21.2600002,57798,31300
Saint Mary's College of California,Bachelor's,Graduate,Private,Far West,Fringe Rural,0.6947,25,1115,56500,12462,9229,21500,22.0400009,65861,50300
Texas A & M University-College Station,Bachelor's,Graduate,Public,Southwest,Small City,0.6947,26,1182,20819,13297,10287,16566.5,20.1399994,71288,49000
Benedictine University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.695,22,1030,35481,5558,7686,17188,24.9500008,53068,43400
Buena Vista University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.6955,23,1050,39011,7412,6736,17879,24.8799992,47120.5,36100
University of Northern Colorado,Bachelor's,Graduate,Public,Rocky Mountains,Small City,0.6957,22,1029,19105,7571,7487,14250,21.25,69484,36200
Elizabethtown College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.6957,25,1117,47390,13704,8137,23872.5,21.25,90303,44400
